node_loc,technology,emission_factor,lifetime
R14_AFR,coal_exp,-0.814,40
R14_CAS,coal_exp,-0.814,40
R14_CPA,coal_exp,-0.814,40
R14_EEU,coal_exp,-0.814,40
R14_LAM,coal_exp,-0.814,40
R14_MEA,coal_exp,-0.814,40
R14_PAO,coal_exp,-0.814,40
R14_PAS,coal_exp,-0.814,40
R14_RUS,coal_exp,-0.814,40
R14_SAS,coal_exp,-0.814,40
R14_SCS,coal_exp,-0.814,40
R14_UBM,coal_exp,-0.814,40
R14_WEU,coal_exp,-0.814,40
R14_AFR,foil_exp,-0.665,40
R14_CAS,foil_exp,-0.665,40
R14_CPA,foil_exp,-0.665,40
R14_EEU,foil_exp,-0.665,40
R14_LAM,foil_exp,-0.665,40
R14_MEA,foil_exp,-0.665,40
R14_PAO,foil_exp,-0.665,40
R14_PAS,foil_exp,-0.665,40
R14_RUS,foil_exp,-0.665,40
R14_SAS,foil_exp,-0.665,40
R14_SCS,foil_exp,-0.665,40
R14_UBM,foil_exp,-0.665,40
R14_WEU,foil_exp,-0.665,40
R14_AFR,LNG_exp,-0.482,40
R14_CAS,LNG_exp,-0.482,40
R14_CPA,LNG_exp,-0.482,40
R14_EEU,LNG_exp,-0.482,40
R14_LAM,LNG_exp,-0.482,40
R14_MEA,LNG_exp,-0.482,40
R14_PAO,LNG_exp,-0.482,40
R14_PAS,LNG_exp,-0.482,40
R14_RUS,LNG_exp,-0.482,40
R14_SAS,LNG_exp,-0.482,40
R14_SCS,LNG_exp,-0.482,40
R14_UBM,LNG_exp,-0.482,40
R14_WEU,LNG_exp,-0.482,40
R14_AFR,loil_exp,-0.631,40
R14_CAS,loil_exp,-0.631,40
R14_CPA,loil_exp,-0.631,40
R14_EEU,loil_exp,-0.631,40
R14_LAM,loil_exp,-0.631,40
R14_MEA,loil_exp,-0.631,40
R14_PAO,loil_exp,-0.631,40
R14_PAS,loil_exp,-0.631,40
R14_RUS,loil_exp,-0.631,40
R14_SAS,loil_exp,-0.631,40
R14_SCS,loil_exp,-0.631,40
R14_UBM,loil_exp,-0.631,40
R14_WEU,loil_exp,-0.631,40
R14_AFR,oil_exp,-0.631,40
R14_CAS,oil_exp,-0.631,40
R14_CPA,oil_exp,-0.631,40
R14_EEU,oil_exp,-0.631,40
R14_LAM,oil_exp,-0.631,40
R14_MEA,oil_exp,-0.631,40
R14_PAO,oil_exp,-0.631,40
R14_PAS,oil_exp,-0.631,40
R14_RUS,oil_exp,-0.631,40
R14_SAS,oil_exp,-0.631,40
R14_SCS,oil_exp,-0.631,40
R14_UBM,oil_exp,-0.631,40
R14_WEU,oil_exp,-0.631,40
